SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,song_hotttnesss,Lyrics
1,SOQUGNH12A6D4FBB0E,64577,Genesis And Jo,ARLQ5EV1187FB4491D,Don Francisco,311.2224,0,0.665,68.537,1,0,Overture (Genesis & Job),0,0,INSTRUMENTAL
2,SOEEPYY12A58A7B1C8,21585,Boomerang,ARKZNO81187FB37FBA,Daara J,261.61587,0,0.741,91.005,4,1,Le Precipice,0,0.319565987,
3,SOPHMRL12AB017E87,401052,Not Without A Fight,ARH9HS41187FB5BC6F,New Found Glory,208.27383,4,0.662,192.07,4,0.937,"bDont Let Her Pull You Down""""",2009,0.663193968,"It's time that I rain on your parade Watch as all your hopes explode from landmines You ask for help but people turn away You're living so far away from the truth That you're believing in your own lies It's no surprise that you sleep at night, drowning in your prize  You made him feel so welcome (welcome) Make him forget about the poison running through his veins You may say that you love him (love him) Now lie in the mess you've made  (Don't let her!) Don't let her pull you down (Don't let her!) Don't let her pull you down (Don't let her!) ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
4,SOVWTKI12A58A789B6,257644,The Best Of Ivan Parker,AR9UT8H1187B9AF504,Ivan Parker,207.90812,0,0.938,91.964,4,0.944,"Then He Said_ Sing""",0,0.278598087,
5,SOQENPJ12AB0180997,532011,Listening Tree,AR8U8G41187B9A833,Tim Exile,369.57995,1,0,110,4,0.662,Fortress,2009,0.530025614,"You who's coming up the stairs, Shouting- I’m coming, dying like sick disgusting… I wish they'd understand. We might clear out. I'm stuck with my mind in the gutter... ---  Hey, little thing. Hey, little thing within. Don't believe these stories. Don't let them in. There's only one for you. There's one within that's true. If you see truth for sale, And buy it with your soul, ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
6,SOOCZWD12AB0185147,503069,Desolation Angels,ARD8JVH1187FB4DA04,Bad Company,211.1473,0,0.614,194.283,7,0.47,Crazy Circles,1979,0.552547694,Life is lik A merry go round Painted horses Riding up and down Music takes you And you're gone again Crazy circles never seem to end  Oh I will face the sun Leavin shadows far behind And together we'll go on Through time oh yeah  Life is just A game of chess Some find riches ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
7,SOYMDLM12A6D4FB10,59445,Mozart: Academy in Concert,ARBH0MS1187FB36311,Sir Neville Marriner,296.80281,7,0.651,61.634,5,0.527,Two Elegiac Melodies Op. 34: 2. The Last Spring,0,0.588922168,INSTRUMENTAL
8,SOMNXCC12AB0187BE7,589241,Celebration,ARBEOHF1187B9B044D,Madonna,269.58322,5,0.153,121.948,4,0.303,"bPapa Dont Preach""""",1986,0.725984187,"Papa I know you're going to be upset I was always your little girl You should know by now I'm not a baby  You always taught me right from wrong I need your help daddy please be strong I may be young at heart but I know what I'm saying  The one you warned me all about The one you said I could do without We're in an awful mess and I don't mean maybe Please  Papa don't preach I'm in trouble deep Papa don't preach I've been losing sleep But I made up my mind I'm keeping my baby, mmm I'm gonna keep my baby, mmm...  Says that he's going to marry me ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
9,SOLPFAE12A8C13AF2D,109835,Samy Deluxe,ARB0WNP1187B9AC4A,Samy Deluxe,235.98975,1,0.554,85.865,4,0.651,Die Meisten,2001,0.620581548,"Strophe 1: Ihr wollt lieber intimere, mehr persönliche Texte die man abends beim Kuscheln hört, so auf gemütlich mit Kerze? Wollt sogar die Sachen hörn, die ich sonst keinem erzähle bis auf die tiefsten Abgründe meiner eigenen Seele? Habt gehört, daß ich Vater wär und verheiratet wäre, wollt den Stand der Dinge erfahrn sowie weitere Pläne ... Doch ratet mal was! Das ist nicht Inhalt meiner Verträge, ich wurd zum Dissen gesigned und tu's bis jeder in diesem Business weint. Mich krist du nicht klein mit deinen Fragen, wie ich wirklich bin, denn immer wenn ich euch Clou's geb, scheint es, ihr hört nicht hin. Mal unter uns: Auch ich hab Probleme wie du aber ich geb es nicht zu. Verdammt, ich leb nicht im Zoo! Ihr wollt doch nur Infos von mir, damit ihr mehr über mich reden könnt und die Komplexe vergeßt, mit denen ihr durch euer Leben rennt, in dem ihr alles verdrängt und die Zeit totschlagt, damit darüber zu meckern was ich am Mic so sag.  Hook:  Leider begreifen die meisten Leute immer noch nicht, was mir dieser Scheiß bedeutet. (Cuts) (einmal wiederholen)  Strophe 2 ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
10,SOHCFNL12A8C140C2E,701307,Kissed,ARJEFGV1241B9C6F79,Winterlight,328.6722,0,0,99.998,4,1,Daybreak,0,0,
