Lyrics,wordCount,charCount,avgWordSize,stopwords,numerics,upperCase,lowerCase,song_hotttnesss
INSTRUMENTAL,1,12,12,0,0,1,0,0
"It's time that I rain on your parade Watch as all your hopes explode from landmines You ask for help but people turn away You're living so far away from the truth That you're believing in your own lies It's no surprise that you sleep at night, drowning in your prize  You made him feel so welcome (welcome) Make him forget about the poison running through his veins You may say that you love him (love him) Now lie in the mess you've made  (Don't let her!) Don't let her pull you down (Don't let her!) Don't let her pull you down (Don't let her!) ",108,547,4.19047619,41,0,1,89,0.663193968
"You who's coming up the stairs, Shouting- I’m coming, dying like sick disgusting… I wish they'd understand. We might clear out. I'm stuck with my mind in the gutter... ---  Hey, little thing. Hey, little thing within. Don't believe these stories. Don't let them in. There's only one for you. There's one within that's true. If you see truth for sale, And buy it with your soul, ",69,378,4.626865672,15,0,1,52,0.530025614
Life is like A merry go round Painted horses Riding up and down Music takes you And you're gone again Crazy circles never seem to end  Oh I will face the sun Leavin shadows far behind And together we'll go on Through time oh yeah  Life is just A game of chess Some find riches ,58,277,4,14,0,3,40,0.552547694
INSTRUMENTAL,1,12,12,0,0,1,0,0.588922168
"Papa I know you're going to be upset I was always your little girl You should know by now I'm not a baby  You always taught me right from wrong I need your help daddy please be strong I may be young at heart but I know what I'm saying  The one you warned me all about The one you said I could do without We're in an awful mess and I don't mean maybe Please  Papa don't preach I'm in trouble deep Papa don't preach I've been losing sleep But I made up my mind I'm keeping my baby, mmm I'm gonna keep my baby, mmm",110,511,3.757009346,36,0,8,83,0.725984187
"Strophe 1: Ihr wollt lieber intimere, mehr persönliche Texte die man abends beim Kuscheln hört, so auf gemütlich mit Kerze? Wollt sogar die Sachen hörn, die ich sonst keinem erzähle bis auf die tiefsten Abgründe meiner eigenen Seele? Habt gehört, daß ich Vater wär und verheiratet wäre, wollt den Stand der Dinge erfahrn sowie weitere Pläne ... Doch ratet mal was! Das ist nicht Inhalt meiner Verträge, ich wurd zum Dissen gesigned und tu's bis jeder in diesem Business weint. Mich krist du nicht klein mit deinen Fragen, wie ich wirklich bin, denn immer wenn ich euch Clou's geb, scheint es, ihr hört nicht hin. Mal unter uns: Auch ich hab Probleme wie du aber ich geb es nicht zu. Verdammt, ich leb nicht im Zoo! Ihr wollt doch nur Infos von mir, damit ihr mehr über mich reden könnt und die Komplexe vergeßt, mit denen ihr durch euer Leben rennt, in dem ihr alles verdrängt und die Zeit totschlagt, damit darüber zu meckern was ich am Mic so sag.  Hook:  Leider begreifen die meisten Leute immer noch nicht, was mir dieser Scheiß bedeutet. (Cuts) (einmal wiederholen)  Strophe 2 ",193,1082,4.708994709,7,1,0,146,0.620581548
"The rain has washed my dog with fear A question people think, I call a friend And the next wave is valentine  See yourself call, no big deal Ever since that's not a fear Wishin' the lamp would shine And beam me at it, give me some fuel  Find a way, to clog it up alone Terrified, the way you stand ",64,298,3.852459016,21,0,2,51,0.587426507
"You can illustrate a life in romance. But, I can show you something so much more than words, In my hands. That's your best intention, now, to burn your friends? This is your last night, this is your last chance. (In my hands)  (Die romantic, romantic) This is the nightmare, we fall asleep. (Die romantic, romantic) This is the nightmare we don't complete. Tonight's the night, and it's all we need, now. (To die romantic)  I sat and watched your heartbeat fade with every breath. I watched your lips turn blue, your eyes went cold and all, with all the rest. I hold the panic, try to breathe. Is this happening? I've fucking had it. ",118,634,4.495652174,43,0,4,97,0.47212112
Your love's so exciting Boy I can't deny it Since you found a place in my heart Givin' me a feeling Ooh it's such a feeling I pray that we never will part  How can I explain it? Please hear what I'm sayin' You bring so much joy to my life Words cannot express So much happiness I'll forever be by your side  And I will give you my heart And I will always be true to you And I will love you forever If I could just make love to you Make love to you  Girl I must confess it You've been such a blessin' ,110,500,3.688679245,40,0,8,79,0.319565987
