SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,SOQUGNH12A6D4FBB0E,64577,Genesis And Jo,ARLQ5EV1187FB4491D,38.99792,Colorado,-105.55096,Don Francisco,0,311.2224,0,0.665,68.537,1,0,Overture (Genesis & Job),0
2,SOEEPYY12A58A7B1C8,21585,Boomerang,ARKZNO81187FB37FBA,,,,Daara J,0,261.61587,0,0.741,91.005,4,1,Le Precipice,0
3,SOPHMRL12AB017E87,401052,Not Without A Fight,ARH9HS41187FB5BC6F,,Coral Spring FL,,New Found Glory,0,208.27383,4,0.662,192.07,4,0.937,bDont Let Her Pull You Down,2009
4,SOPHKAI12AB018873D,818763,bIm Still Here,ARZL6CE1187FB3F264,27.9758,Fort Meyers FL,-81.54106,Mindy McCready,0,231.83628,10,0.094,100.881,4,1,Ten Thousand Angels,1996
5,SOOWVUN12AB0185435,470991,Beladi,AR5S26K1187B9A3141,31.19224,Alexandria Egypt,29.88987,Chantal Chamandy,0,256.15628,11,0.679,84.96,4,0.38,Zindegi,0
6,SOQEKJO12AB0188E78,509775,Todos Cantamos Con Maria Elena,ARFILWJ1187B9ADDBF,,,,Mar\xc3\xada Elena Walsh,0,150.09914,0,0.526,131.552,3,1,La Mona Jacinta,2000
7,SOVWTKI12A58A789B6,257644,The Best Of Ivan Parker,AR9UT8H1187B9AF504,,Tennessee,,Ivan Parker,0,207.90812,0,0.938,91.964,4,0.944,"Then He Said_ Sing""",0
8,SOHWHZJ12A58A79FA8,356024,Kaskaad - Mohawk Hunt / Earuption,ARMATAK1264D13AC27,,,,Kaskaad,0,414.9024,4,0.868,87.507,4,1,Mohawk Hunt,0
9,SOLHMRA12A8C13234A,242839,Let The Movie Begin,ARKZXSQ1187B9AC9F3,,,,Joy Division,0,141.08689,2,0.239,150.04,4,1,Leaders Of Men,1978
10,SORURBV12A8C140200,522538,Solo Lo Nuestro - 20 Exitos,ARKRRTF1187B9984DA,,,,Sonora Santanera,0,150.72608,2,0.624,94.257,4,0.507,Saca La Botella,0
11,SOQAFSW12A67021430,14224,Dig The New Breed,ARJG2ID1187B9A767E,51.31476,Woking Surrey England,-0.56623,The Jam,0,147.64363,7,0.75,144.424,4,0.797,Start!,1980
12,SOQENPJ12AB0180997,532011,Listening Tree,AR8U8G41187B9A833,,,,Tim Exile,0,369.57995,1,0,110,4,0.662,Fortress,2009
13,SOOCZWD12AB0185147,503069,Desolation Angels,ARD8JVH1187FB4DA04,,England,,Bad Company,0,211.1473,0,0.614,194.283,7,0.47,Crazy Circles,1979
14,SOYMDLM12A6D4FB10,59445,Mozart: Academy in Concert,ARBH0MS1187FB36311,,,,Sir Neville Marriner,0,296.80281,7,0.651,61.634,5,0.527,Two Elegiac Melodies Op. 34: 2. The Last Spring,0
15,SODIDOO12A58A794E4,308299,Live 2004,ARP7ILI1187B9AE9F7,,,,Phantom Planet,0,209.34485,2,0.205,122.488,3,1,The Meantime,2004
16,SOBPQVV12A8C13BE51,264107,In Vogue,ARW9LQ31187FB4336D,41.52493,Denver Colorado,-88.08459,Drop Dead_ Gorgeous,0,96.10404,0,1,200.289,1,0.936,Are You Happy (Album Version),2006
17,SOMNXCC12AB0187BE7,589241,Celebration,ARBEOHF1187B9B044D,,Bay City MI,,Madonna,0,269.58322,5,0.153,121.948,4,0.303,bPapa Dont Preach,1986
18,SOVQYSC12AB017D1C5,632887,Ladies Night,ARKJ8Y91187B9B551E,,FRANCE,,Nichols,0,214.46485,0,0.723,167.941,4,0.595,Fica ma mi,0
19,SOLPFAE12A8C13AF2D,109835,Samy Deluxe,ARB0WNP1187B9AC4A,,,,Samy Deluxe,0,235.98975,1,0.554,85.865,4,0.651,Die Meisten,2001
20,SOSFUQC12AB017E17E,531252,Pump Up The Bhangra,AR2PNSZ1187B9AF0A4,,,,Pardesi,0,263.52281,11,0.034,90.811,4,0.779,Akhan Nay Shara,0
21,SOHLHAI12A8C139204,264387,Many moods of love - vol.2,ARPKMIM1187FB397DE,,,,Sane Band,0,262.53016,9,0.592,148.071,4,0.616,Thats life,0
22,SOWWOFM12A6D4F82F0,26034,Expansion Team,AR0CANF1187B9AF35F,34.05349,Los Angeles California,-118.24532,Dilated Peoples Featuring Black Thought,0,236.72118,7,0.714,87.326,4,1,Hard Hitters,2001
23,SOMNSHX12A58A79CD2,234069,Power Packed,AREWQSE1187B9AEC6C,32.58507,Mississippi,-89.87374,The Jackson Southernaires,0,273.162,8,0.003,115.434,4,1,No Coward Soldier,0
24,SOHCFNL12A8C140C2E,701307,Kissed,ARJEFGV1241B9C6F79,,,,Winterlight,0,328.6722,0,0,99.998,4,1,Daybreak,0
