SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,song_hotttnesss
1,SOQUGNH12A6D4FBB0E,64577,Genesis And Jo,ARLQ5EV1187FB4491D,Don Francisco,311.2224,0,0.665,68.537,1,0,Overture (Genesis & Job),0,0
2,SOEEPYY12A58A7B1C8,21585,Boomerang,ARKZNO81187FB37FBA,Daara J,261.61587,0,0.741,91.005,4,1,Le Precipice,0,0.319565987
3,SOPHMRL12AB017E87,401052,Not Without A Fight,ARH9HS41187FB5BC6F,New Found Glory,208.27383,4,0.662,192.07,4,0.937,"bDont Let Her Pull You Down""""",2009,0.663193968
4,SOVWTKI12A58A789B6,257644,The Best Of Ivan Parker,AR9UT8H1187B9AF504,Ivan Parker,207.90812,0,0.938,91.964,4,0.944,"Then He Said_ Sing""",0,0.278598087
5,SOQENPJ12AB0180997,532011,Listening Tree,AR8U8G41187B9A833,Tim Exile,369.57995,1,0,110,4,0.662,Fortress,2009,0.530025614
6,SOOCZWD12AB0185147,503069,Desolation Angels,ARD8JVH1187FB4DA04,Bad Company,211.1473,0,0.614,194.283,7,0.47,Crazy Circles,1979,0.552547694
7,SOYMDLM12A6D4FB10,59445,Mozart: Academy in Concert,ARBH0MS1187FB36311,Sir Neville Marriner,296.80281,7,0.651,61.634,5,0.527,Two Elegiac Melodies Op. 34: 2. The Last Spring,0,0.588922168
8,SOMNXCC12AB0187BE7,589241,Celebration,ARBEOHF1187B9B044D,Madonna,269.58322,5,0.153,121.948,4,0.303,"bPapa Dont Preach""""",1986,0.725984187
9,SOLPFAE12A8C13AF2D,109835,Samy Deluxe,ARB0WNP1187B9AC4A,Samy Deluxe,235.98975,1,0.554,85.865,4,0.651,Die Meisten,2001,0.620581548
10,SOHCFNL12A8C140C2E,701307,Kissed,ARJEFGV1241B9C6F79,Winterlight,328.6722,0,0,99.998,4,1,Daybreak,0,0
11,SOOAMWT12A8C13B479,251204,Dinosaur,AR9YWMS1187FB43A34,Dinosaur Jr.,198.53016,0,0.456,185.452,1,0,Does It Float,1985,0.587426507
12,SOLYUTF12A8C133225,238242,Them,ARNVM131187B990D2,themselves,271.43791,1,0.617,167.885,4,0.465,Crayon Sharpener,2003,0.428702263
13,SOASHZJ12A8C1426D8,311098,The Soul Of Jazz (Jazz Club),AR9ST641187B99B4DE,Cal Tjader,199.75791,9,0.283,143.764,1,0.137,Along Comes Mary,0,0.405115722
14,SOYYFNE12AB018A96D,774026,From Hell...With Love,ARJ8PZJ1187B99314F,Aiden,241.03138,7,0.705,125.653,4,1,Die Romantic [Live],0,0.47212112
15,SOIRKJL12A8C13A2AA,298352,Ultimate Toni Braxton,ARAEX7Y1187FB42D36,Toni Braxton Featuring Babyface,240.61342,10,0,103.832,4,0.986,Give U My Heart,2003,0.319565987
16,SOXVMZV12A8C142488,476059,Georgiavania,ARWHVAC123E29C221D,Willie Isz,338.72934,1,0,83.573,1,1,Violet Heart Box,2009,0.385950834
17,SOPLYEI12AB0181C03,446698,Count Me In,AR6KNZ01187B9A35D1,Justo Almario,243.43465,7,0.768,216.557,7,1,In Your Dreams,1995,0.37011948
18,SOKASWV12AB01857B5,631067,Strata Presents The End Of The World,AR4IWYN1187FB47DF6,Strata,201.27302,5,0.426,125.562,4,1,Night Falls (The Weight Of It),2007,0.755262765
19,SOQFUXL12A8C136D6,702264,Meu P\xc3\xa9 Meu Querido P\xc3\xa9,AR1PQYO1187B98BEC9,H\xc3\xa9lio Ziskind,60.70812,11,0,200.617,4,0.379,Cocoric\xc3\xb3 (Abertura),0,0.229144104
20,SOOJXKD12A58A7AB3C,239051,Precious Little,AR695PK1187B996E35,Jeremy Spencer,289.77587,0,1,92.433,3,0.574,It Hurts Me Too,2006,0
21,SOAJZJM12A6D4FA033,50589,Jazz Age!,ARGDLJR1187B98D048,Bob Crosby,173.73995,2,0.715,119.763,4,1,The World Is Waiting For The Sunrise,0,0.405115722
22,SOSBXWX12A6701D235,15555,"bLive Era 87-93""""",ARM7EDF1187B9B3FA1,"bGuns N Roses""""",402.36363,6,0.741,122.838,4,0.554,Patience,1988,0.502211221
23,SOQLKYX12A8C13A7A,296910,Piano Masterpieces,ARY8LJ11187FB4019,Floyd Cramer,117.4722,2,0.186,83.724,4,0,Near You,1964,0
24,SOIMKZT12AB018B1DD,757136,Spirit of Brazil live,ARIYZFT1187FB5393E,"bMartn\xc3\xa1lia""""",242.59873,0,0.518,96.978,4,0.558,Brasil pandeiro,0,0
25,SOAFZZF12AB0186C77,553628,The Best of Michael English,AR31BYO1187FB5336C,Michael English,189.88363,2,0.865,123.29,4,0.91,Come On Home,0,0
26,SOEBFHP12AC468DA37,789783,Lange Presents Intercity Spring 2010,ARNLHY61187FB3A0C0,Organ Donors,455.44444,8,0.459,134.07,4,0.542,Dr Kaotica,0,0
27,SOBQCYC12AB018748A,503553,Anchorman,ARCQCYR1187B99367F,Jonathan Edwards / Will Ferrell,159.58159,10,0.25,83.985,3,0.518,Sunshine Anchorman Medley,0,0.445454525
28,SOIDEZW12A6D4F9655,53676,"bLet Em Burn""""",ARHUIGM1187B9A5932,Hot Boys,227.94404,4,0.096,93.859,4,0.917,Young Riders,0,0.405115722
29,SOTEFFR12A8C144765,336537,Day & Age,ARVG4OK1187B9B6BD3,The Killers,225.12281,11,0.116,134.734,1,0,A Dustland Fairytale,2008,0.760343237
30,SOMROYR12AB01893AD,513000,Bad Boy Dance Mixes Volume 4,AR93WAA1187FB42116,Cassie,490.86649,10,0.052,82.005,3,1,Long Way 2 Go [Friscia & Lamboy Club],0,0.215080319
31,SONBMJI12A6D4F82B7,25838,Too Fast For Love,AREGV3K1187B9AF614,M\xc3\xb6tley Cr\xc3\xbce,201.40363,7,0.279,121.691,3,0.922,Merry-Go-Round,1981,0.623235993
32,SOHIPSG12AC46890BE,686742,John D. Loudermilk,AR5ZJLK1187B9B3A8E,John D. Loudermilk,113.81506,7,0.015,87.714,1,0,Somebody Sweet,0,0
33,SOKUIMB12A6D4F8AC6,23964,Alias,ARHG53Q1187B9ACBFC,Alias,274.15465,9,0.041,140.449,4,0.711,Standing In The Darkness,0,0.345802234
34,SOMLVRX12AB0189DCE,715143,Before & After,AR6C6VO1187FB4E267,Tora Tora,248.16281,7,0,110.494,1,0,"bThats Not the Way Loves Supposed to Be""""",0,0.300172626
35,SONZEZC12A8C14580,479760,Crashing Gates,ARRSIQ11187B98F216,Kevin Max,219.01016,9,0.493,88.002,4,0.331,"bBaby_ Im Your Man""""",2008,0.595926916
36,SOPGYHQ12A8AE47B30,278700,Lovers Rock,AR7N7MI1187FB46935,Sade,160.62649,4,0.519,161.991,4,0.652,All About Our Love,2000,0.640688281
37,SOQZCBF12AB018644D,379517,Spanning A Lifetime,AR243ZT1187B9A98D2,Otis Spann,298.55302,5,0.644,89.518,3,0.684,Monkey Faced Woman,0,0
38,SOOIAGM12AB01862C7,762480,Owsley,ARPGYM11187FB4B1E1,Owsley,348.02893,9,0.771,95.787,4,0.958,Class Clown/Good Old Days (Reprise),1999,0
39,SOVZNGE12AAF3B1E2A,322043,Rhythm & Blues Vol 9,ARD4LQ61187FB470F1,Little Willie John,147.25179,8,0.681,105.653,1,0,Leave My Kitten Alone,1991,0.460484845
40,SOOINOI12A6D4FC8D0,272060,Feel Me,ARJANQY1187B9A82F7,Leana,228.15302,9,0.015,130.923,4,0,Pack Your Bags (Remix by Ralphi Rosario),0,0.265861049
41,SOVUFWU12A3F1ECA3C,445182,Roger McGuinn Live At The XM Studios  05/27/2004,ARQFPFK1187FB533E1,Roger McGuinn,264.69832,1,0.743,83.897,3,0.317,The Bells Of Rhymney,0,0
42,SOACMGG12AB0189F0D,777947,Black Rock,ARSHZBZ1187B98A445,Joe Bonamassa,258.7424,7,0.735,75.064,3,0.741,I Know A Place,2010,0.806399867
43,SODNKBI12A8AE48AD0,279664,Int\xc3\xa9grale 81-91,AR7GOK91187FB455F5,Jean-Jacques Goldman,358.60853,7,0.698,133.058,4,0.645,Je Marche Seul (Version Longue),0,0
44,SOPRXBS12A8C1323E8,619464,Atomic Boogie,ARWIMT21187B9B5AEC,Big Joe Turner,159.16363,0,0.598,84.907,4,0.562,I Got My Discharge Papers,0,0
45,SOEAXUV12A6D4F8FA2,304975,Valse Avec Bachir,ARDG9Z71187B997023,Public Image Ltd,251.50649,9,0.007,127.369,4,0,This Is Not A Love Song,1983,0.87361876
46,SOFCCRW12A6D4FA064,71368,Kings Of The Texas Swing - Live,AR0CDSK1187FB52ED6,Asleep At The Wheel,238.21016,11,0.046,122.166,4,0.738,The Letter That Johnny Walker Read,2002,0.580704293
47,SOWHXVQ12A8A9D59CA,133543,Party on my own,AR41ESB1187FB360B1,Gloria,218.122,2,0.553,84.978,3,0.67,You are the summer,0,0
48,SOLICYE12AB017ED96,551858,Die Star Von Kleinkunst und Kabarett,ARPJMMD1187FB4BD47,Curt Bois,153.52118,0,0.4,91.568,4,0.562,Lucindy,0,0
49,SOYQKLT12AB01841BC,441344,Cinema Do Mar,ARCID1N1187FB51DA0,Carlos Nu\xc3\xb1ez,179.64363,11,0.79,131.986,5,0.285,"bGabriels Oboe (La Mision)""""",2007,0.327736683
50,SOFAOMI12A6D4FA2D8,64501,Once Upon A Shattered Life,ARYXOV81187B99831D,Seventh Day Slumber,209.73669,2,0.315,150.575,4,0.317,Shattered Life,2005,0.780311604
51,SOUWMIW12AB0184748,760072,The Unforgettable Grandpa Jones,ARQ91R31187FB38A88,Grandpa Jones,141.73995,2,0.101,119.271,4,0.15,Down In Dixie,0,0
52,SOQSJJL12AC46874BC,780921,111,AR0ILWV1187FB47CAA,Mouth Of The Architect,475.21914,3,0,124.562,3,0.989,Harboring An Apparition,2006,0.690970954
53,SOILDRV12A8C13EB77,171957,The Sporting Life,ARUUP4L1187B9B72E,Diamanda Galas,162.95138,5,0.86,162.133,4,0.668,Dark End Of The Street,0,0.323112121
54,SOAYONI12A6D4F85C8,41649,Collection,AR9JLBU1187B9AAEC4,Danny Williams,168.01914,8,0.223,77.072,3,0.597,The Wonderful World Of The Young,1998,0.334706549
55,SOBUUYV12A58A7DA27,149791,Return Of The Guardians,ARI4S0E1187B9B06C0,David Arkenstone,314.5922,9,0.658,141.975,4,0.659,The Forgotten Lands,1996,0.360370583
56,SOLXXPY12A67ADABA0,691752,Sin / Pecado,AR4C6V01187FB3BAF4,Moonspell,386.19383,7,0.374,140.185,4,0.099,The Hanged Man,1998,0.594079585
57,SORZSCJ12A8C132446,86259,Nouveau Zydeco,ARAGMIV11F4C843F78,"Myrick Freeze"" Guillory""",300.82567,0,0.297,137.663,4,0,Zydeco In D-Minor,0,0
58,SOKPTHW12AB018AB51,710826,Mutiny: Deluxe Edition,ARKCYJV1187FB392E9,Set Your Goals,153.23383,8,0.683,131.639,1,0,This Very Moment,2006,0.659230577
59,SOHKLFL12A6D4FA150,123782,Kill Your Darlings,AR5ZVJ91187B99083A,Soulwax,201.24689,0,0.536,111.223,5,0.951,Kill Your Darlings,1996,0.504034341
60,SOERGHR12AAF3B2A52,384191,The Modern Recordings 1948-50,ARRWDU31187B9B5656,Jimmy McCracklin,147.64363,2,0.397,101.241,4,0.819,Gotta Cut Out,2002,0.262308997
61,SOQMALF12AAF3B4144,432951,Vocal House Diamonds Vol.2,ARYSHL01187B9AAEC7,Hysterie,379.402,11,0.249,131.986,4,0,Be my Lover,0,0.319565987
62,SOTNLYM12AB0181695,484445,La Otra,ARXB7B21187B98BEF0,Marisela,221.20444,1,0.736,134.192,4,0.532,La Otra,0,0
63,SOPUCKL12A6D4FB5A6,59794,The Path Of A Decent Groove,ARCZ20M1187FB49687,Tony Joe White,329.35138,2,0.078,139.905,4,0.289,The Coloness Of The Chain,1993,0
64,SOYJHEW12A8C133A40,240644,Same !@#$ Different Day,AR0JPOG1187FB37383,Lyrics Born,313.15546,11,0.533,98.927,4,1,I Changed My Mind (DJ Spinna Remix),2005,0.443291312
65,SOWCJPI12AAF3B229C,321903,The Best of The Baltimore Consort,ARODOO01187FB44F4A,The Baltimore Consort,240.40444,7,0.646,123.784,3,1,Howell\x19s Delight,0,0.212045405
66,SOBPTED12A6D4F99C7,41136,Serious Hits... Live!,AR9W3X91187FB3994C,Phil Collins,174.23628,11,0.237,206.941,7,0.755,"bYou Cant Hurry Love (Live)""""",1990,0.457447167
67,SOWVTAJ12A8C13C6D5,304405,Christmas Songbook,ARZVTZN1187FB579D4,Jim Reeves,108.19873,0,0.424,95.264,4,0.372,Jingle Bells,1963,0.468997788
68,SOOFHUH12A8C1340A5,199800,I Can See You,ARQ76LG1187B9ACD84,Black Flag,133.25016,10,0.577,207.238,4,0,Out Of This World,1985,0.579038701
69,SOCWFVT12AB01890F8,727695,And The Beat Goes Om,ARI28VJ1187FB4EAD7,Slackbaba,465.6322,0,0.67,88.644,5,0.607,Sea of Green,2006,0.552457009
70,SOFWWIA12AB01884A1,420564,Help Me,ARS0W831187B9AF0B7,Maximilian Hecker,174.23628,7,0.897,77.006,4,0,Sleepy Lad,2004,0.299877488
71,SONFOEG12A8C13B8B8,302144,Greatest Hits,ARLAEJO1187B98DB85,FU-Schnickens,237.92281,9,0.591,101.871,4,1,True Fuschnick,1992,0.644823658
72,SOPWWAV12A8C13A825,205410,Riot_ Riot_ Upstart,AR0O3AV1187FB4D030,Agnostic Front,92.18567,6,0.282,151.184,1,0,Sickness,1999,0.665160008
73,SOFDYGC12A6D4F9059,354680,Inertiatic Esp,ARHUC691187B9AD27F,The Mars Volta,266.47465,6,0.501,112.486,4,0.529,Inertiatic Esp,2003,0.928616842
74,SOXNASC12AB01874DF,555336,Game Over,AR02PUA1187FB52574,Hoodfellas,227.082,4,0.038,130.011,5,1,If you Seek Amy,0,0.289362698
75,SOALDFI12A8C13A3A8,295041,Prayer: A Windham Hill Collection,ARHY20W1187B9B8262,Steve Erquiaga,220.70812,2,0.378,141.706,1,0.125,The 23rd Psalm,0,0
76,SOCJPAI12AB0185DB1,702585,Manhattan Mayhem (a history of the Dolls),ARS1OWB1187B99EEAD,New York Dolls,210.85995,7,0.844,110.056,4,0,Trash (live Paris),0,0
77,SOJODCY12A58A7CE98,263238,Visa,ARB4ROA1187B9ACAEC,Junior Reid,199.75791,1,0,165.469,4,0.462,No Loafting,1994,0
78,SOIXICA12A58A7A9A5,818083,The Bunny Striker Lee Story,ARIHI8H1187B9B0058,Jackie Edwards,179.09506,10,0.782,157.177,4,0.472,Ali Baba,2003,0.372530039
79,SOBLUYN12A8AE48167,279598,En Vogue,AR3QRJ91187B98E4C2,Jacques Dutronc,151.09179,2,0.263,98.733,4,0.288,"bLAventurier""""",1969,0.499445835
80,SOWFMJA12AB01837B6,750876,Polyvinyl 2002 - 2003 Sampler,ARDHWW41187B9A86B0,Paris_ Texas,225.67138,0,0.958,100.532,4,0.183,Hip Replacement,2002,0
81,SOTPQTD12A58A7E19,23778,The Lonesome Jubilee,ARYVGP31187B9A531A,John Mellencamp,216.86812,11,0.335,134.929,4,0.219,Down And Out In Paradise,1987,0.450762242
82,SOMYFOE12AB0183244,511879,Vinyl Replica:  Cualquiera Puede Cantar,ART6QCS1187FB40CBD,Los Aut\xc3\xa9nticos Decadentes,153.57342,0,0.065,140.823,4,0.159,El Chorro,1997,0.445454525
83,SOISBPM12A8C132C8E,194915,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.),ARSZVAK1187FB4A9F0,Richie Ray & Bobby Cruz,370.75546,5,0.763,219.131,7,1,Bomba Camara,0,0.559472776
84,SOVPVKY12A6D4F6F86,84929,"bSomethings Gotten Hold of My Heart: the Collection""""",AR0N9BV1187FB3AD01,Gene Pitney,166.3473,7,0.648,93.301,4,0,Every Breath I Take,1986,0.73292413
85,SOTJMAA12AB01862F2,341482,Texas Playboys,AR9OLFX1187B9A5762,Bob Willis,172.09424,3,0.688,121.923,1,0,Sugar Blues,2000,0.400443466
86,SOTGNAJ12A58A7F3FE,113176,New Direction,ARWGIFV1187B989947,New Direction,265.24689,2,0.364,56.703,1,0,Who Do You Roll With?  (LP Version),1999,0.334706549
87,SOTZUHM12A58A7E054,487835,Ready To Fly,AR2S4CA1187B99632E,FFH,263.83628,3,0.775,138.504,4,0.73,Here I Am,2003,0.375984302
88,SOCQGCO12A8C13D2E4,109829,Deluxe Soundsystem,ARRHVGT1187B98D603,Dynamite Deluxe,148.29669,9,0.59,87.844,4,0.474,Zornig!,2000,0.550561797
89,SONKOFE12AB0187002,511272,"bLocked n Loaded""""",ARFONKU11F4C8431CC,Dickies,179.59138,2,0.277,70.183,4,0.293,Gigantor,0,0.653628682
90,SOQAUIF12AC46861CF,597519,Faith,ARVNGA71187FB3C107,Faith Hill,207.80363,0,0.441,141.705,4,0.472,Better Days (Album Version),1998,0.517789044
91,SOGOBIT12AB01899DE,647420,The Very Best Of Brenda Lee Vol.2,ARGKD4W1187B990E04,Brenda Lee,173.06077,8,0.637,124.291,1,0,"bIf IM Dreaming just Let Me Dream""""",0,0.38293509
92,SOACXUA12AB017C9A4,395388,Channel 10,AR60ZZX1187FB52E29,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,256.1824,0,1,201.494,4,0.819,Rotate,2009,0.462379946
93,SOTBDNQ12A67ADBF2A,69802,Ride Ranger Ride,ARHK7A51187FB411D8,Roy Rogers,185.0771,0,0.524,100.451,3,0.699,"bThe Hills Of Old Wyomin""""",0,0.253097328
94,SOTVMJI12AB018638F,813022,JigSaw,ARKAUWC122988EDAD8,George Schuller,409.0771,7,0.259,103.022,3,0.792,Distant Cousin,0,0
95,SOKZCJC12AF72A8C79,116947,Zos Kia Cultus,AR1OBRC1187FB59AD4,Behemoth,206.44526,6,0.525,114.929,3,1,Here And Beyond,2002,0.620458374
96,SOTEDAD12A8AE4735F,2004,Snivilisation,ARD5K161187B9AC784,Orbital,478.45832,9,0.485,87.982,4,1,Forever,1994,0.685137628
97,SOGWIQR12A8C144C22,428130,The Best Of In The Summertime,AR07VS41187FB37944,Mungo Jerry,193.90649,7,0.005,88.58,4,0,"bIts A Secret""""",1995,0.427446571
98,SOUWZWV12AB0181ACF,491917,Lullaby School,ARPTOWL11F50C47FB8,Kris Gruen,185.28608,10,0.715,105.217,4,1,Prayer Walk,0,0
99,SOKDPUY12AB0184594,759481,How Lucky I Am,ARG09R51187FB4D5C2,Bryan White,245.81179,8,0.626,151.528,4,0.899,God Gave Me You (Single/LP Version),1999,0.334706549
100,SOWYWXM12AB018C9E9,573679,Ultimate Holt,ARJPZSG1187FB3E985,John Holt,209.29261,0,0.657,171.597,4,0.766,Only Just Begun,0,0
101,SOQZZKI12A67020D38,6968,The Very Best,ARC43071187B990240,Wayne Watson,304.19546,2,0.511,114.528,4,0.627,Freedom (LP Version),0,0
102,SOVQEYV12AF72A06B2,195247,Crowbar,ARWGLPE1187FB3E54C,Crowbar,270.73261,4,0.723,189.288,4,0,No Quarter,0,0.71404746
103,SOCIACN12AB0189ADC,519747,Humboldt Beginnings,AR82DJK1187B991107,The Pharcyde,217.88689,2,0,97.594,4,0.684,Storm,2004,0.460541281
104,SORWASK12A6D4FA5ED,226414,Carpe Diem,AREMOC71187B996C2F,Lara Fabian,273.13587,2,0.67,109.965,4,1,Ram\xc3\xa8ne Moi,1994,0.386477291
105,SOAVPSK12A58A7ED21,235684,Who?What?Why?When?Where?,ARPKMIM1187FB397DE,Mad Are Sane_ The,228.8322,1,0.743,196.196,1,0,Animal Crimes,1984,0.437036204
106,SOIBHJO12A6D4F7774,22455,Personal Business (Explicit),AREB22L1187B9A4BCE,Bad Azz,270.39302,2,0,102.922,4,0.591,How We Get Down,0,0.427446571
107,SOMVRYP12AB0185AFF,470948,Beasts of Burden,ARWUK9L11C8A42C37,Workhorse,370.85995,5,0.317,60.15,1,0,Flight of the Elephant,2007,0.253834736
108,SOLEPCJ12A6D4F7404,27755,Strictly Personal,ARONRBJ11F50C49E81,Captain Beefheart & The Magic Band,206.57587,9,0.289,186.23,4,0.857,On Tomorrow,0,0.701097127
109,SOVSPXE12AB0185D78,805834,Ganz sch\xc3\xb6n turb\xc3\xbclent,ARIVGZI11E2835F1FC,B\xc3\xbclent Ceylan,54.15138,2,0.288,78.437,1,0.913,B\xc3\xbclent & Mompfreed: Mompfreedonium,0,0
110,SOFUUNS12AB018A286,703994,Made In England,ARG4KW31187FB51B7C,Atomic Rooster,159.60771,5,0.067,124.714,4,0.355,Little Bit of Inner Air,1972,0.619596042
111,SOGWIQS12A8C1339B1,86789,The Flesh,ARBR7II1187B9B821E,The Flesh,227.00363,5,0,86.09,3,0.959,Sweet Defeat,0,0.304169503
112,SOWPAXV12A67ADA046,68118,Ultimate Girl Groups,ARUQ6301187FB54EBA,Salt-N-Pepa,207.62077,4,0.252,127.597,4,0.822,Push It,1988,0.806119769
113,SORGUQZ12AB0184B31,757194,The Death Of Romance,ARQDWBG1187B9891D7,Zeromancer,280.08444,2,0.211,120.072,5,0.436,V,2010,0.731282
114,SOCSLKG12A6D4F5954,81735,Songs About Jane,ARF5M7Q1187FB501E8,Maroon 5,181.52444,10,0.476,145.999,4,0.593,Through With You,2002,0.787210098
115,SOSGKSM12A6D4F5626,36198,The Very Best Of The Four Pennies,ARZLX2S1187B991A47,The Four Pennies,156.57751,1,0.794,101.295,3,0.871,Sweeter Than You,0,0
116,SOELVHE12A8C135E02,146667,Jealous Me Was Killed By Curiosity,ARU2I2B1187FB472E8,Moros Eros,224.41751,2,0.144,90.291,1,1,Safety Net (Album Version),2007,0.473346541
117,SOGRSPK12A8A9D88E0,277526,Charismatisches Selbstimage - Selbst-Management,ARLMCCW1241B9CE7C,Kurt Tepperwein,1203.53914,4,0.716,113.487,4,0.416,Subliminal ohne Naturgeraeusche,0,0
118,SOHUHHZ12AAA15E72E,321338,Solon k\xc3\xb4no,ARLV03V1187B9A33A9,Djelimady Tounkara,487.33995,0,0.654,145.93,4,0.652,Sarank\xc3\xa9gni,2005,0.229144104
119,SOLJMGD12A58A76C3A,620827,Holding Up Half the Sky: Voices of Celtic Women,AR82GTS1187FB5662F,Mary Black & General Humbert,303.75138,7,0.791,99.237,3,0.849,Isle of St. Helena,1984,0.375984302
120,SOJEECD12AB018BDA5,769560,Live Fast_ Love Hard_ Die Young (Best of_ Vol. 1),ARKBTPV1187FB38A79,Faron Young,168.72444,2,0.277,74.894,4,0.763,"bIll Be Yours""""",1994,0
121,SOCHJTF12AC4686775,599979,PEECHY,ARC95UW1187B9B9A62,Speech,160.93995,1,0,73.11,5,0.814,A Talk With Dad,2003,0
122,SOJPQLG12A8C140660,437093,Another Last Shot,ARBQ5TQ1187B992B8A,Vivian,283.79383,7,0.509,145.021,4,0,Another Last Shot (Album Version),0,0.215080319
123,SORLVXI12A8AE45E37,135645,Live In Paris,ARAIABB1187B9AC6E2,Seal,304.14322,5,0.545,133.193,5,0.806,Prayer For The Dying (Live In Paris),2005,0.352232225
124,SOVTIJE12AB017F8D9,620815,Smoothe Urban Jazz,ARTZMXB1187B990A55,Streetwize,302.13179,10,0.51,101.311,4,1,"bU Dont Have To Call""""",0,0
125,SOPMXHY12A6D4F7DBC,27412,Roses,AR1DR0E1187FB48F61,Kathy Mattea,124.83873,9,0.019,79.091,7,0.911,Isle Of Inishmore - Part 1 (Air),2002,0
126,SOVGYIW12AB018186F,343267,Decisions,ARFCOGY1187FB454B4,The Winans,288.26077,10,0.625,106.515,4,0.848,Breaking Of Day (Album Version),0,0
127,SOCLHLD12A6701E65,14905,Raindrops - The Best Of...,AR8WHEJ1187B98CDCA,Dee Clark,170.65751,7,0.581,148.341,1,0,Leroy Bown,0,0
128,SOSINEG12A58A7D528,709510,The King Is Dead,ARSCJQW1187B9B3523,Hoods,175.3073,6,0.348,60.308,4,0.471,Heartless,0,0.646151234
129,SOOTJIQ12A8C1368B9,149618,El N\xc3\xbamero Imperfecto,ARAI2ZO1187B9A0536,Catupecu Machu,266.1873,1,0.717,126.992,4,0.99,A Veces Vuelvo,2004,0.57228319
130,SONEGFT12A8C142567,539435,The Way That I Am,ARF3GX71187FB3EB66,Martina McBride,198.42567,4,0.002,175.954,7,0,Heart Trouble,1993,0.215080319
131,SOPAHBW12A6D4F7638,129349,Punto y aparte,AR2K2CM1187B98D4F1,Fran Perea,173.08689,4,0.215,90.645,1,0.868,Entonces,2005,0.324058699
132,SOGPIOY12A58A7F7AD,132684,Rolling Stone Originals - online single 93744-6,ARW071B1187B9A603C,Unwritten Law,199.67955,11,0.631,80.472,4,0,Save Me (Rolling Stone Original Version),0,0
133,SOGWPDK12A81C2242F,131510,Well Deep: Ten Years Of Big Dada,ARU9KWP1187B98B2A7,Busdriver,240.71791,8,0.901,123.998,5,0.492,Unemployed Black Astronaut,2005,0.55964661
134,SOVASWH12A8C13E3CE,161800,"bGood Rockin Tonight - Live In San Francisco""""",AR6KK741187B98C9E9,Roy Brown,227.082,0,0.602,157.087,4,0,Good Rocking Tonight,0,0.503381236
135,SOEOYBN12A6D4F9E2C,31407,Apologize For Nothing,ARSS4Y41187B9B0AC6,Bobaflex,147.43465,10,0.005,93.033,4,0.632,Turn The Heat Up,2005,0.660680598
136,SOYSZGR12A8C14015C,748094,Demonica,AR1OBRC1187FB59AD4,Behemoth,188.08118,5,0.073,139.115,4,0,Cursed Angel Of Doom (Previously Unreleased&Re-Recorded Track),0,0.270775999
137,SOAPDWC12AC468BB3,783787,GetDarker Presents THIS IS DUBSTEP 2,ARNBIUE1187FB3E846,Benga,277.55057,11,0.015,87.468,5,1,The Future,2006,0.583748835
138,SOCKRKE12AB018DD02,762519,Talk To Your Daughter,AR7BMMV1187FB5B2D7,Robben Ford,250.53995,0,0.67,137.23,4,0.341,Talk To Your Daughter (Album Version),1988,0.557187768
139,SOTGNGT12A8C142826,320241,Whole Lotta Live 1998,AR7PPJV1187FB397CC,The James Taylor Quartet,315.14077,0,0.393,106.552,4,0.598,Creation,1996,0.523166108
140,SOFFUHF12AC4689476,790939,Zoo Is Sad_ People Are Cruel,ARAO0RA1187FB587F2,My Little Airport,125.70077,2,0.01,92.975,3,1,Leo_ Are You Still Jumping Out Of Windows In Expensive Clothes?,0,0.527818137
141,SOSTESB12A6D4F9A66,59669,Heartbeat,ARNMWP51187FB3E963,Curtis Mayfield,411.92444,8,0.381,237.466,4,0.352,You Better Stop,1979,0.304169503
142,SOSAQJU12AC90755D2,692717,The Best Of The Ronettes,ARCHKD91187B9A0A42,The Ronettes,177.81506,7,0.797,114.047,4,0.148,Born To Be Together,1991,0.629768365
143,SOFFOFH12A8AE45129,279019,Body And Soul,ARWPYQI1187FB4D55A,Rick Astley,215.09179,8,0.626,150.112,4,0.269,Hopelessly,1993,0.574882892
144,SOFGAJF12A8C141DA3,7106,Lost Together,ARD842G1187B997376,Blue Rodeo,280.65914,7,0.345,126.1,4,0.415,Fools Like You,1992,0.494489518
